#,case,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,Cooling,Lighting,Cooling+Lighting,Equipment,Total
49146,49147,300,1.092773435,0.673359862,1.072151245,0.467493449,0.472679257,1.085723307,0.54522957,0.37625843,0.345171848,0.444450769,0.725478636,73471.50668,12285.063,85756.56968,51617.8656,137374.4353
30001,30002,350,0.937014982,0.557890543,1.117195336,0.401799153,0.231384144,1.469492998,0.259483156,0.508268163,0.598207037,0.367880746,0.597747799,65891.16272,13075.31736,78966.48008,51617.8656,130584.3457
45926,45927,340,0.58935125,0.46574685,1.188200366,0.21542247,0.281906983,1.865967081,0.559808957,0.459817759,0.577226498,0.451038661,0.751191507,63994.72949,11082.51396,75077.24345,51617.8656,126695.1091
43824,43825,70,0.780633133,0.688414872,0.67042304,0.40197878,0.417568463,2.90998681,0.550522895,0.417591354,0.514315588,0.386119694,0.530718298,72148.57041,13396.1436,85544.71401,51617.8656,137162.5796
17240,17241,330,0.923198604,0.443401415,0.831181342,0.407284866,0.347951683,1.16438709,0.462972637,0.393204633,0.455209669,0.460540148,0.618676412,69585.69156,13139.04312,82724.73468,51617.8656,134342.6003
4892,4893,300,1.183054786,0.644587715,0.836127116,0.336920116,0.449041824,2.884852261,0.33209636,0.432305116,0.515141494,0.617505234,0.694545156,72955.65655,11223.15012,84178.80667,51617.8656,135796.6723
725,726,280,0.996345577,0.411397701,0.749281451,0.33679371,0.215961884,1.762599729,0.379991423,0.386125605,0.56598706,0.446090191,0.572172984,65512.69837,12757.78728,78270.48565,51617.8656,129888.3513
22949,22950,60,0.919943961,0.516679439,1.025624194,0.298116352,0.156195948,2.898878872,0.606056803,0.495198734,0.57760759,0.536795632,0.511970407,63504.69383,12388.61736,75893.31119,51617.8656,127511.1768
34657,34658,290,1.125721863,0.745910292,1.039720189,0.301081369,0.161754875,1.103364399,0.521136521,0.379804968,0.506529324,0.404371251,0.751485735,63716.68357,12021.3702,75738.05377,51617.8656,127355.9194
37213,37214,20,0.65171165,0.65495663,0.518551293,0.36211347,0.165007908,2.572820492,0.574389508,0.363088128,0.366490662,0.536276725,0.503504066,64065.59366,14100.42312,78166.01678,51617.8656,129783.8824
20304,20305,300,0.538457099,0.63468874,1.131653572,0.188858228,0.348107101,1.763352128,0.49027893,0.633757275,0.313916685,0.654962648,0.616034992,68297.44563,11989.23264,80286.67827,51617.8656,131904.5439
15269,15270,270,1.045076077,0.405202029,1.137360167,0.456924406,0.215921581,1.099332027,0.417529651,0.293093139,0.597346229,0.493457698,0.509531936,66869.16195,13229.13816,80098.30011,51617.8656,131716.1657
22367,22368,220,0.918880045,0.525584329,0.966807032,0.421724243,0.499954736,2.638867359,0.54299627,0.534774675,0.401523262,0.536149008,0.650498168,73922.46911,12066.14304,85988.61215,51617.8656,137606.4778
42684,42685,260,1.075706788,0.794829409,0.821882685,0.283115119,0.474950131,2.459739241,0.372832619,0.335217638,0.41472284,0.470943366,0.531524933,72178.33722,14013.62424,86191.96146,51617.8656,137809.8271
46734,46735,320,0.592388825,0.502864584,0.6247812,0.228392928,0.191395436,2.228929681,0.403430754,0.468635404,0.461416762,0.613693306,0.671358428,63227.31935,11601.1098,74828.42915,51617.8656,126446.2948
11732,11733,60,0.574796759,0.462573751,0.500730027,0.252124082,0.431404514,1.107572499,0.467112241,0.469457396,0.518112332,0.359123023,0.478377158,72962.36441,14201.78004,87164.14445,51617.8656,138782.0101
18619,18620,150,1.020331793,0.432223961,1.073670112,0.216491545,0.253810517,1.423673313,0.527435231,0.49943664,0.531308068,0.321502885,0.51766472,64742.8608,14309.17992,79052.04072,51617.8656,130669.9063
48492,48493,110,0.450238112,0.62957268,1.079765665,0.238907616,0.381296597,2.34940367,0.446282747,0.470567438,0.585092323,0.512790774,0.534067664,69841.35651,12497.39064,82338.74715,51617.8656,133956.6128
