#,Job_ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,c0: Cooling,c1: Interior Lighting,c2: Interior Equipment,Total energy consumption
27,EP_G000000027,14.17870317,0.802054053,5.347598512,0.79676894,12.99275747,0.81388389,24.85878059,25.05986825,19,177149.18,21522.72,158974.25,357646.15
28,EP_G000000028,12.71780981,0.903168066,7.214258816,0.816976224,12.80735343,0.815993141,23.9777755,24.5990069,18,183047.41,23894.57,144019.18,350961.16
29,EP_G000000029,12.70655021,0.965945736,8.317970981,0.885774388,12.57912215,0.907320307,24.12994767,24.97994459,17,173112.24,26231.5,142985.73,342329.47
30,EP_G000000030,12.57907139,0.811589524,6.356750792,0.794639415,14.23579939,0.799652709,24.88451197,27.7573295,19,196166.75,25515.92,171137.93,392820.6
31,EP_G000000031,15.05039712,0.793675146,7.56347328,0.885597645,11.83431119,0.910049181,24.41414943,28.29038719,18,172468.76,27155.37,148416.53,348040.66
32,EP_G000000032,14.18826549,0.754596601,6.235817166,0.826448264,12.41157116,0.814413483,24.48485893,25.56901629,17,152145.7,18348.12,126634.91,297128.73
33,EP_G000000033,14.03691754,0.858592182,5.18440614,0.857827348,13.19151997,0.93800126,23.43011644,26.24436041,17,173480.81,15833.66,155017.24,344331.71
34,EP_G000000034,13.69624168,0.837156405,5.131673443,0.796525449,13.85115622,0.776657197,24.83436593,26.51197506,17,155833.77,14552.62,134771.21,305157.6
35,EP_G000000035,13.52843221,0.950440927,5.350237511,0.758767224,13.68369582,0.707590408,25.32475058,27.56232647,17,152745.89,14453.2,121301.76,288500.85
36,EP_G000000036,11.13153986,0.829870923,7.434630644,0.748697031,11.54702329,0.79190837,23.93155575,25.91437465,19,205590.39,28117.17,137470.01,371177.57
37,EP_G000000037,13.04015001,0.969374931,6.924261856,0.76929664,12.3693635,0.896598036,24.7028064,26.25957149,19,195924.84,26907.5,166727.84,389560.18
38,EP_G000000038,14.04094307,0.802200401,7.67109433,0.862245992,10.37544655,0.989509382,25.03447773,22.25563754,18,158904.38,26815.54,141481.98,327201.9
